RMA NUMBER,VENDOR,PART NUMBER,SERIAL NUMBER,RMA CREATION DATE,RMA STATUS,CLOSURE DATE,RMA AGE,VENDOR SLA DAYS,SLA STATUS,SLA DAYS REMAINING,NOTES
RMA-52859,VENDOR 1,PN-74605,SN-78666,5/12/2026,CLOSED,5/22/2026,10,7,COMPLETE,N/A,
RMA-49635,VENDOR 1,PN-11247,SN-80131,3/12/2026,CLOSED,4/24/2026,43,7,COMPLETE,N/A,
RMA-12471,VENDOR 1,PN-11247,SN-35750,3/17/2026,CLOSED,3/30/2026,13,7,COMPLETE,N/A,
RMA-35146,VENDOR 1,PN-27195,SN-68997,5/25/2026,OPEN,,13,7,BREACHED SLA,0,
RMA-01439,VENDOR 2,PN-15003,SN-27702,5/5/2026,CLOSED,5/13/2026,8,14,COMPLETE,N/A,
RMA-51710,VENDOR 2,PN-86450,SN-58534,3/13/2026,CLOSED,3/17/2026,4,14,COMPLETE,N/A,
RMA-30441,VENDOR 2,PN-30728,SN-28226,5/20/2026,CLOSED,5/26/2026,6,14,COMPLETE,N/A,
RMA-13731,VENDOR 3,PN-47322,SN-70995,4/11/2026,CLOSED,4/28/2026,17,21,COMPLETE,N/A,
RMA-77168,VENDOR 2,PN-97929,SN-61523,3/15/2026,CLOSED,5/20/2026,66,14,COMPLETE,N/A,
RMA-41366,VENDOR 4,PN-22432,SN-27712,3/21/2026,CLOSED,4/15/2026,25,30,COMPLETE,N/A,
RMA-94661,VENDOR 2,PN-63842,SN-66599,4/29/2026,CLOSED,5/10/2026,11,14,COMPLETE,N/A,
RMA-97734,VENDOR 3,PN-11058,SN-60578,5/11/2026,CLOSED,5/21/2026,10,21,COMPLETE,N/A,
RMA-17744,VENDOR 2,PN-30728,SN-82948,4/3/2026,CLOSED,5/7/2026,34,14,COMPLETE,N/A,
RMA-96369,VENDOR 1,PN-42692,SN-89627,5/28/2026,IN PROGRESS,,10,7,BREACHED SLA,0,
RMA-60590,VENDOR 1,PN-85718,SN-65377,5/2/2026,CLOSED,6/1/2026,30,7,COMPLETE,N/A,
RMA-73110,VENDOR 4,PN-47062,SN-41047,4/12/2026,CLOSED,5/14/2026,32,30,COMPLETE,N/A,
RMA-69929,VENDOR 1,PN-02885,SN-32271,3/14/2026,CLOSED,5/6/2026,53,7,COMPLETE,N/A,
RMA-44200,VENDOR 4,PN-29823,SN-95747,4/22/2026,CLOSED,5/8/2026,16,30,COMPLETE,N/A,
RMA-82364,VENDOR 2,PN-63842,SN-42621,4/2/2026,CLOSED,5/10/2026,38,14,COMPLETE,N/A,
RMA-58892,VENDOR 4,PN-81577,SN-70087,5/5/2026,CLOSED,5/14/2026,9,30,COMPLETE,N/A,
RMA-62448,VENDOR 4,PN-81577,SN-76220,5/28/2026,CLOSED,6/3/2026,6,30,COMPLETE,N/A,
RMA-62072,VENDOR 4,PN-81577,SN-47530,5/5/2026,CLOSED,5/12/2026,7,30,COMPLETE,N/A,
RMA-62386,VENDOR 3,PN-45894,SN-67891,5/23/2026,CLOSED,6/4/2026,12,21,COMPLETE,N/A,
RMA-33248,VENDOR 3,PN-45894,SN-95752,4/1/2026,IN PROGRESS,,67,21,BREACHED SLA,0,
RMA-08660,VENDOR 4,PN-29823,SN-17379,4/25/2026,CLOSED,5/25/2026,30,30,COMPLETE,N/A,
RMA-54041,VENDOR 3,PN-50768,SN-83514,4/25/2026,CLOSED,5/10/2026,15,21,COMPLETE,N/A,
RMA-31553,VENDOR 2,PN-15003,SN-78733,5/20/2026,OPEN,,18,14,BREACHED SLA,0,
RMA-76738,VENDOR 3,PN-20561,SN-39935,4/18/2026,CLOSED,5/18/2026,30,21,COMPLETE,N/A,
RMA-39128,VENDOR 4,PN-41375,SN-21222,5/1/2026,OPEN,,37,30,BREACHED SLA,0,
RMA-47296,VENDOR 1,PN-74605,SN-13274,3/17/2026,CLOSED,4/13/2026,27,7,COMPLETE,N/A,
RMA-06209,VENDOR 4,PN-25523,SN-28934,4/23/2026,CLOSED,5/20/2026,27,30,COMPLETE,N/A,
RMA-91584,VENDOR 4,PN-25523,SN-28171,4/20/2026,CLOSED,5/28/2026,38,30,COMPLETE,N/A,
RMA-55992,VENDOR 4,PN-81577,SN-06036,4/8/2026,CLOSED,5/24/2026,46,30,COMPLETE,N/A,
RMA-07372,VENDOR 3,PN-50768,SN-98261,4/13/2026,CLOSED,5/11/2026,28,21,COMPLETE,N/A,
RMA-21519,VENDOR 1,PN-27195,SN-11147,5/13/2026,CLOSED,5/25/2026,12,7,COMPLETE,N/A,
RMA-22574,VENDOR 2,PN-30728,SN-53609,3/25/2026,CLOSED,3/30/2026,5,14,COMPLETE,N/A,
RMA-96970,VENDOR 2,PN-63842,SN-38521,3/25/2026,CLOSED,5/19/2026,55,14,COMPLETE,N/A,
RMA-03114,VENDOR 4,PN-22432,SN-71515,4/8/2026,CLOSED,5/30/2026,52,30,COMPLETE,N/A,
RMA-64011,VENDOR 3,PN-57470,SN-20442,5/17/2026,CLOSED,5/19/2026,2,21,COMPLETE,N/A,
RMA-15696,VENDOR 4,PN-22432,SN-04114,4/27/2026,CLOSED,5/29/2026,32,30,COMPLETE,N/A,
RMA-35538,VENDOR 2,PN-86450,SN-35670,5/21/2026,OPEN,,17,14,BREACHED SLA,0,
RMA-84817,VENDOR 3,PN-57470,SN-49550,3/16/2026,CLOSED,4/22/2026,37,21,COMPLETE,N/A,
RMA-29248,VENDOR 3,PN-57470,SN-71761,3/20/2026,CLOSED,3/28/2026,8,21,COMPLETE,N/A,
RMA-93822,VENDOR 3,PN-50768,SN-43927,5/2/2026,CLOSED,5/22/2026,20,21,COMPLETE,N/A,
RMA-14396,VENDOR 3,PN-30897,SN-02058,5/1/2026,CLOSED,5/9/2026,8,21,COMPLETE,N/A,
RMA-26487,VENDOR 3,PN-50768,SN-22314,6/6/2026,IN PROGRESS,,1,21,WITHIN SLA,20,
RMA-62873,VENDOR 3,PN-20561,SN-99929,5/2/2026,CLOSED,5/31/2026,29,21,COMPLETE,N/A,
RMA-32110,VENDOR 1,PN-74605,SN-34998,4/5/2026,CLOSED,4/8/2026,3,7,COMPLETE,N/A,
RMA-35893,VENDOR 4,PN-29823,SN-42157,5/17/2026,CLOSED,5/28/2026,11,30,COMPLETE,N/A,
RMA-96334,VENDOR 1,PN-17354,SN-21708,4/3/2026,CLOSED,5/22/2026,49,7,COMPLETE,N/A,
RMA-75175,VENDOR 3,PN-11058,SN-99964,4/26/2026,CLOSED,5/24/2026,28,21,COMPLETE,N/A,
RMA-12375,VENDOR 4,PN-29823,SN-29061,6/5/2026,CLOSED,6/5/2026,0,30,COMPLETE,N/A,
RMA-18563,VENDOR 4,PN-81577,SN-01013,4/28/2026,CLOSED,5/18/2026,20,30,COMPLETE,N/A,
